,fips,naics,employees,firms,wages
0,13000,111110,34,6,1063431
1,13000,111140,19,4,566298
2,13000,111150,149,22,3915436
3,13000,111191,38,6,1018164
4,13000,111199,27,5,982554
5,13000,111211,0,3,0
6,13000,111219,0,136,0
7,13000,111331,164,3,3523896
8,13000,111332,65,7,1271544
9,13000,111333,52,5,784536
10,13000,111334,508,52,12246074
11,13000,111335,693,81,22671575
12,13000,111336,99,5,1434354
13,13000,111339,423,9,7800510
14,13000,111411,9,3,244727
15,13000,111419,289,14,12285534
16,13000,111421,2140,134,75369033
17,13000,111422,530,43,17686112
18,13000,111910,0,16,0
19,13000,111920,949,176,27617623
20,13000,111930,0,1,0
21,13000,111940,0,17,0
22,13000,111992,451,82,13514539
23,13000,111998,358,53,10774943
24,13000,112111,259,80,8146206
25,13000,112112,23,5,859810
26,13000,112120,1021,74,38737435
27,13000,112210,74,10,2300799
28,13000,112310,633,25,23959422
29,13000,112320,715,75,36641807
30,13000,112340,970,27,44404745
31,13000,112390,144,8,4756207
32,13000,112410,0,2,0
33,13000,112420,0,2,0
34,13000,112511,0,3,0
35,13000,112519,0,2,0
36,13000,112910,203,21,6359863
37,13000,112920,49,23,1542871
38,13000,112990,144,24,4650013
39,13000,113110,357,69,15955609
40,13000,113210,105,15,5030016
41,13000,113310,4259,487,187164473
42,13000,114111,0,1,0
43,13000,114112,0,5,0
44,13000,114119,0,1,0
45,13000,114210,220,37,7628635
46,13000,115111,828,54,35820577
47,13000,115112,252,62,9687997
48,13000,115113,244,8,2011691
49,13000,115114,1843,77,66104765
50,13000,115115,579,37,12885042
51,13000,115116,84,16,3712038
52,13000,115210,630,107,21900159
53,13000,115310,890,164,50279465
54,13000,212311,327,24,15800181
55,13000,212312,0,4,0
56,13000,212313,1400,73,99421970
57,13000,212319,0,8,0
58,13000,212321,260,16,13851457
59,13000,212322,69,6,3962846
60,13000,212324,917,21,64991197
61,13000,212325,1147,12,82852271
62,13000,212391,0,1,0
63,13000,212393,0,3,0
64,13000,212399,98,6,5971457
65,13000,213111,110,26,6965837
66,13000,213112,0,18,0
67,13000,213114,0,1,0
68,13000,213115,365,11,16482111
69,13000,221111,0,3,0
70,13000,221112,121,16,13325899
71,13000,221113,0,5,0
72,13000,221114,25,11,1612593
73,13000,221117,0,2,0
74,13000,221118,0,3,0
75,13000,221121,0,2,0
76,13000,221122,12429,253,1220822443
77,13000,221210,1975,57,204435944
78,13000,221310,1270,97,60827064
79,13000,221320,104,7,5680657
80,13000,236115,8626,2281,614831484
81,13000,236116,932,103,97746648
82,13000,236117,1811,198,170931126
83,13000,236118,6320,1795,302266077
84,13000,236210,5058,222,402597077
85,13000,236220,19190,1677,1480650173
86,13000,237110,5385,412,301789739
87,13000,237120,1097,71,76630412
88,13000,237130,11664,357,788849847
89,13000,237210,1958,200,138881842
90,13000,237310,8666,276,520809854
91,13000,237990,3895,195,387508666
92,13000,238111,1776,227,90663193
93,13000,238112,3855,223,214434143
94,13000,238121,24,10,675532
95,13000,238122,2449,156,133790170
96,13000,238131,391,134,19064906
97,13000,238132,398,41,19958185
98,13000,238141,634,192,28058642
99,13000,238142,1258,186,62244014
100,13000,238151,573,73,28885280
101,13000,238152,1561,127,86616757
102,13000,238161,1533,434,76767270
103,13000,238162,3522,181,187939211
104,13000,238171,581,127,28061538
105,13000,238172,109,13,4942558
106,13000,238191,401,46,17658640
107,13000,238192,2246,161,137549149
108,13000,238211,6119,1064,274861185
109,13000,238212,22652,1583,1403145352
110,13000,238221,13224,1883,621635146
111,13000,238222,17248,1049,1047213408
112,13000,238291,158,39,7418004
113,13000,238292,4632,351,329141003
114,13000,238311,2047,288,110846498
115,13000,238312,2721,215,148914156
116,13000,238321,1604,621,64828424
117,13000,238322,1886,194,113433304
118,13000,238331,1137,265,60682923
119,13000,238332,827,100,43913287
120,13000,238341,440,132,18740107
121,13000,238342,414,52,19410552
122,13000,238351,2243,541,96753135
123,13000,238352,913,115,47301084
124,13000,238391,760,117,36606780
125,13000,238392,2908,158,167744758
126,13000,238911,2694,430,118453172
127,13000,238912,7548,522,394985056
128,13000,238991,2568,354,118117546
129,13000,238992,4568,389,247154160
130,13000,311111,522,16,42581304
131,13000,311119,778,46,42761645
132,13000,311211,0,8,0
133,13000,311224,264,9,14245677
134,13000,311225,228,7,16532732
135,13000,311230,0,6,0
136,13000,311314,0,2,0
137,13000,311340,1353,14,74938346
138,13000,311351,0,9,0
139,13000,311352,404,24,16055400
140,13000,311411,0,2,0
141,13000,311412,0,14,0
142,13000,311421,0,24,0
143,13000,311423,0,1,0
144,13000,311511,0,6,0
145,13000,311512,0,1,0
146,13000,311513,547,10,24271048
147,13000,311514,0,4,0
148,13000,311520,235,6,6414863
149,13000,311611,1490,32,59269607
150,13000,311612,3126,37,159105076
151,13000,311613,223,7,15048704
152,13000,311615,32701,69,1129595399
153,13000,311710,717,7,32667286
154,13000,311811,0,184,0
155,13000,311812,4604,114,263163482
156,13000,311813,0,5,0
157,13000,311821,1750,12,114122369
158,13000,311824,447,9,24288338
159,13000,311830,1274,9,54260770
160,13000,311911,932,6,49550514
161,13000,311919,1998,13,109178935
162,13000,311920,0,16,0
163,13000,311930,0,12,0
164,13000,311941,500,9,28859218
165,13000,311942,741,16,47936880
166,13000,311991,1213,28,40297102
167,13000,311999,1235,16,72218849
168,13000,312111,2582,32,162203543
169,13000,312112,936,24,50163269
170,13000,312113,270,22,10012202
171,13000,312120,2132,66,147974782
172,13000,312130,250,41,6872107
173,13000,312140,0,10,0
174,13000,312230,0,4,0
175,13000,313110,10722,91,477551061
176,13000,313210,5270,36,208918369
177,13000,313220,0,6,0
178,13000,313230,1534,25,96851190
179,13000,313240,0,2,0
180,13000,313310,2035,59,102966419
181,13000,313320,207,11,8661790
182,13000,314110,23933,184,1137036915
183,13000,314120,1516,77,46425086
184,13000,314910,747,40,28298128
185,13000,314994,686,24,30577525
186,13000,314999,1987,126,73874957
187,13000,315110,0,1,0
188,13000,315210,270,39,6748690
189,13000,315220,990,28,38163701
190,13000,315240,521,24,23198412
191,13000,315280,295,14,13497674
192,13000,315990,0,8,0
193,13000,316110,25,3,1072065
194,13000,316210,249,7,10167378
195,13000,316992,0,5,0
196,13000,316998,0,10,0
197,13000,321113,5989,156,320437347
198,13000,321114,865,21,51805851
199,13000,321211,1170,23,73467746
200,13000,321212,0,5,0
201,13000,321213,0,4,0
202,13000,321214,1566,40,64357897
203,13000,321219,590,7,39076745
204,13000,321911,1927,56,103755594
205,13000,321912,328,16,12163841
206,13000,321918,1517,60,58603554
207,13000,321920,2749,85,113445124
208,13000,321991,1859,15,56223278
209,13000,321992,734,20,28473440
210,13000,321999,521,44,25079035
211,13000,322110,1535,22,139874680
212,13000,322121,2428,16,195290074
213,13000,322122,500,3,40718399
214,13000,322130,3436,19,318128899
215,13000,322211,3491,68,252265463
216,13000,322212,1511,32,97052013
217,13000,322219,1609,20,71225780
218,13000,322220,2863,35,151574506
219,13000,322230,865,16,48753213
220,13000,322291,1011,4,68673318
221,13000,322299,300,16,15689977
222,13000,323111,10206,629,517723155
223,13000,323113,1603,176,63506978
224,13000,323117,67,6,3288235
225,13000,323120,1185,49,40951263
226,13000,324110,87,4,5168222
227,13000,324121,325,33,21265844
228,13000,324122,437,9,35125660
229,13000,324191,0,11,0
230,13000,324199,0,2,0
231,13000,325120,220,11,14654700
232,13000,325130,624,17,43596915
233,13000,325180,1590,34,158603675
234,13000,325193,71,4,4926401
235,13000,325194,309,5,26262226
236,13000,325199,475,19,32378685
237,13000,325211,1001,38,90879444
238,13000,325212,240,9,16784329
239,13000,325220,1648,16,90549159
240,13000,325311,275,10,25517200
241,13000,325314,381,22,17849826
242,13000,325320,343,14,16256936
243,13000,325411,521,14,37477030
244,13000,325412,2183,74,226968450
245,13000,325413,0,8,0
246,13000,325414,0,10,0
247,13000,325510,1967,178,112674185
248,13000,325520,1240,45,85687692
249,13000,325611,900,48,69793734
250,13000,325612,1376,40,87405704
251,13000,325613,443,11,36167480
252,13000,325620,868,40,50827627
253,13000,325910,0,19,0
254,13000,325920,0,1,0
255,13000,325991,832,14,52327250
256,13000,325992,691,11,43237062
257,13000,325998,2680,48,184862842
258,13000,326111,472,11,22822077
259,13000,326112,508,14,28974057
260,13000,326113,2175,26,123679688
261,13000,326121,1009,17,49312608
262,13000,326122,668,15,34979345
263,13000,326130,335,6,14757039
264,13000,326140,1839,26,87935188
265,13000,326150,727,25,34138784
266,13000,326160,2027,25,101242332
267,13000,326191,1257,21,50148275
268,13000,326199,8330,160,411159395
269,13000,326211,1959,12,104912601
270,13000,326212,534,17,24866303
271,13000,326220,957,15,48136408
272,13000,326291,374,11,18667250
273,13000,326299,1768,29,85322744
274,13000,327110,663,30,34013373
275,13000,327120,1373,22,78748139
276,13000,327211,0,5,0
277,13000,327212,0,6,0
278,13000,327213,817,6,55069791
279,13000,327215,908,30,44855611
280,13000,327310,0,38,0
281,13000,327320,2792,166,155364352
282,13000,327331,322,13,15153955
283,13000,327332,0,9,0
284,13000,327390,2332,66,130683681
285,13000,327420,905,19,71588327
286,13000,327910,42,5,2206876
287,13000,327991,2392,155,108910984
288,13000,327992,513,5,34730057
289,13000,327993,1515,17,94824767
290,13000,327999,537,18,34078078
291,13000,331110,810,31,55183221
292,13000,331210,372,7,22118200
293,13000,331221,0,6,0
294,13000,331222,0,5,0
295,13000,331313,0,2,0
296,13000,331314,0,2,0
297,13000,331315,170,5,17138086
298,13000,331318,1892,8,99848374
299,13000,331410,0,2,0
300,13000,331420,0,14,0
301,13000,331491,37,3,4806995
302,13000,331492,41,7,2708929
303,13000,331511,962,9,42859844
304,13000,331513,12,4,980400
305,13000,331523,0,3,0
306,13000,331524,81,7,3115246
307,13000,331529,0,1,0
308,13000,332111,154,7,11737208
309,13000,332112,471,4,28901621
310,13000,332114,341,8,17229341
311,13000,332119,1360,29,61189928
312,13000,332215,53,9,1941294
313,13000,332216,780,25,40141331
314,13000,332311,1795,56,79085008
315,13000,332312,1849,73,98680099
316,13000,332313,275,26,10509748
