the_geom,sector,reporting_,county,landfill_n,permit_num,cartodb_id,address,city,zip_code,latitude,longitude,tipping_fe
0101000020E6100000B8C6BF555D3055C0117D79B45C274040,Public,2015,Chattahoochee,Chattahoochee Co. Recycling Center & Inert Landfill,PBR-026-002IL,17,243 Hwy. 137,Cusseta,31805,32.307515,-84.755693,
0101000020E6100000BF69259C845C55C0652D3B21F63D4140,Private,2015,Chattooga,"J.P. Smith Lumber Co., Inc. Inert Landfill",PBR-027-09IL,18,6255 Hwy. 48,Menlo,30731,34.484073,-85.445598,
0101000020E61000004275C888E54255C09F14CE4C039F3F40,Public,2015,Clay,Clay Co.-CR 266 Inert Landfill,PBR-030-01IL,19,0.8 miles east of SR 39 and 0.5 miles south of CR 266/Eufaula St.,Fort Gaines,39851,31.621142,-85.045258,
0101000020E6100000CAEE7A03701555C0542C317AE1BE4040,Private,2015,Clayton,"Coreslab Structures, Inc. Inert Landfill",PBR-031-08IL,20,1655 Noak's Ark Rd.,Jonesboro,30236,33.491253,-84.334962,
0101000020E61000007AA9EB07FAF554C079597BAB2A183F40,Public,2015,Colquitt,Colquitt Co.-CR 15  Inert Landfill,PBR-035-06IL,21,1816 Shade Murphy Rd.,Moultrie,31776,31.094399,-83.843383,
0101000020E6100000FE7F2FE153F254C0A0C791144B313F40,Public,2015,Colquitt,City of Moultrie Service Center Inert Landfill,PBR-035-26IL,22,1108 First St. NE,Moultrie,31768,31.192552,-83.786368,
0101000020E61000008EDE982F328D54C024DF371F36BE4040,Public,2015,Columbia,Columbia Co. Roads and Bridges Inert Landfill,PBR-036-08IL,23,1812 William Few Pkwy.,Grovetown,30802,33.486026,-82.206187,
0101000020E61000001AFED01AE8EF54C0F0F9453D06DE3F40,Public,2015,Crisp,Crisp Co. Inert Landfill,PBR-040-06IL,24,3354 Hwy. 41 South,Cordele,31015,31.867283,-83.748545,
0101000020E61000000F3309A4560355C0B5A93EC342304140,Private,2015,Dawson,Byrd's Inert Landfill,PBR-042-09IL,25,5040 Hwy. 53 East,Dawsonville,30534,34.377035,-84.052164,
0101000020E6100000120C6214D10655C0CE4D1E83A8DE4040,Private,2015,DeKalb,Roger's Lake Inert Landfill,PBR-044-107IL,26,1851 Rogers Lake Rd.,Lithonia,30058,33.739519,-84.106511,
0101000020E6100000E20B0030B73F55C01DB5BDD9BD793F40,Public,2015,Early,Early Co.-CR 135 Inert Landfill,PBR-049-08IL,27,Doodleville Lane,Blakely,39823,31.475556,-84.995556,
0101000020E61000002EA43865D24D55C03D5999270D194140,Public,2015,Floyd,City of Rome-Walker Mountain Road Inert Landfill,PBR-057-07IL,28,431 Walker Mountain Rd. SW,Rome,30161,34.195717,-85.215963,
0101000020E61000000DB2A0C080C454C03E423B13DDCD4040,Public,2015,Greene,City of Union Point Inert Landfill,PBR-066-07IL,29,Wotten Avenue,Union Point,30619,33.608306,-83.070361,
0101000020E61000006D31F4518CD054C02141C21A98C54040,Private,2015,Greene,Oconee Sand & Gravel Inert Landfill/Tri-County Inert Landfill,PBR-066-08IL,30,2830 Carey Station Rd.,Greensboro,30642,33.543705,-83.258568,
