the_geom,sector,reporting_year,permit,county,facility,type,cartodb_id,remaining_capacity,average_daily_tons,rate_of_fill,years_remaining,latitude,longitude
0101000020E610000028F6E9DBB6BD54C012DA722EC5513F40,Public,2017,002-009D(MSWL),Atkinson,SR50 MSWL,Municipal Solid Waste Landfill,2,412199,121,161,10,31.319415,-82.96428583
0101000020E6100000870C3722908E54C0CB9FD23551E23F40,Public,2017,001-006D(SL),Appling,Roaring Creek SL P1-2,Construction and Demolition Landfill,1,501966,22,44,46,31.88405167,-82.22754722
0101000020E610000028F6E9DBB6BD54C012DA722EC5513F40,Public,2017,002-009D(MSWL),Atkinson,SR50 MSWL,Municipal Solid Waste Landfill,3,2603126,195,260,40,31.319415,-82.96428583
0101000020E61000004EA67E9C38DB54C0D8F50B76C32C4140,Private Commercial,2017,006-009D(MSWL),Banks,R&B MSWL,Municipal Solid Waste Landfill,4,20915876,1762,2349,31,34.349715,-83.42533028
0101000020E6100000C9C6832D76F154C05FECBDF8A2FB4040,Private Commercial,2017,007-020D(SL),Barrow,Republic Waste - Oak Grove SR324,Municipal Solid Waste Landfill,5,7312551,1212,1683,15,33.965911,-83.772838
0101000020E61000003A3C84F1D33055C0CF4C309C6B124140,Public,2017,008-016D(SL),Bartow,SR294 Emerson MSWL P2-3,Municipal Solid Waste Landfill,6,14302852,663,975,52,34.143909,-84.762936
0101000020E6100000EF01BA2F67CC54C0F14A92E7FABE3F40,Public,2017,009-005D(SL),Ben Hill,Fitzgerald Kiochee Church Road P2,Municipal Solid Waste Landfill,7,50787,4,6,31,31.746016,-83.193798
0101000020E6100000EF01BA2F67CC54C0F14A92E7FABE3F40,Public,2017,009-005D(SL),Ben Hill,Fitzgerald Kiochee Church Road P2,Municipal Solid Waste Landfill,8,686245,0,0,0,31.746016,-83.193798
0101000020E6100000070C923EADE754C07007EA9447694040,Public,2017,011-017D(SL),Bibb,Macon Walker Road SL P2,Unlined Sanitary Landfill,9,493500,119,296,6,32.822497,-83.619949
0101000020E6100000F831AC03DC0755C00A5AF5773E9E4040,Private Commercial,2017,018-008D(MSWL),Butts,Republic Services Pine Ridge Recycling MSWL,Municipal Solid Waste Landfill,10,21024900,2915,3313,22,33.23628139,-84.12280361
0101000020E6100000E1070862B07654C057E93057EDDB3E40,Public,2017,020-017D(MSWL),Camden,SR110 MSWL,Municipal Solid Waste Landfill,11,1942142,256,315,20,30.85909028,-81.85451556
0101000020E6100000607BA0F4497754C0EF74845F2CD93E40,Public,2017,020-019D(C&D),Camden,SR110 C/D/I ,Construction and Demolition Landfill,12,24674893,533,896,88,30.84833333,-81.86388889
0101000020E610000098821C31468454C08C11AA50B43A4040,Public,2017,021-006D(MSWL),Candler,SR121 P2 MSWL,Municipal Solid Waste Landfill,13,205072,31,69,12,32.45862778,-82.06678417
0101000020E610000079E04A13828554C0EA1E1B7907B53E40,Private Commercial,2017,024-006D(SL),Charlton,Chesser Island Road Landfill MSWL,Municipal Solid Waste Landfill,14,53945693,5816,6462,29,30.70714528,-82.08606417
0101000020E610000063EE5A42BE4D54C072CEFC2872074040,Public,2017,025-051D(SL),Chatham,Savannah Dean Forest Road SL,Municipal Solid Waste Landfill,15,826829,278,451,6,32.05817139,-81.2147375
0101000020E61000006071FE47625154C02706F5EBD6034040,Private Commercial,2017,025-070D(MSWL),Chatham,Superior Landfill & Recycling Center S2,Municipal Solid Waste Landfill,16,9957890,2143,2381,15,32.02999639,-81.27162361
0101000020E6100000F624D147704B54C0618D92DB1F124040,Commercial Industrial,2017,025-072D(L)(I),Chatham,Republic Services Savannah Regional Industrial,Industrial Landfill,17,971007,691,794,4,32.14159722,-81.17872806
0101000020E6100000D31DFE79DE1855C0B8921D1B81244140,Private Commercial,2017,028-039D(SL),Cherokee,Pine Bluff MSWL ,Municipal Solid Waste Landfill,18,35883885,4585,6114,21,34.28519,-84.38857889
0101000020E61000005EE55CCCC72355C05729FBB6790B4140,Private Commercial,2017,028-040D(C&D),Cherokee,Swims SR92 C&D P5,Construction and Demolition Landfill,19,25372,75,151,1,34.08965194,-84.55906972
0101000020E610000096FA05FDFDD054C0357DB8DC47F64040,Public,2017,029-012D(SL),Clarke,Athens Dunlap Road SL P2-4,Municipal Solid Waste Landfill,20,6326863,284,450,46,33.92406806,-83.26550222
0101000020E6100000F7148C8C061455C08C854280E3B74040,Public,2017,031-037D(SL),Clayton,SR3 Lovejoy MSWL S3,Municipal Solid Waste Landfill,21,2061383,61,102,66,33.43663028,-84.31289972
0101000020E610000019AC17C7710055C0DD7C44C850814040,Private Commercial,2017,031-039D(C&D),Clayton,"Stephens MDS, LP C&D",Construction and Demolition Landfill,22,15482791,58,80,702,33.01027778,-84.00694444
0101000020E61000002407D3CD919054C0C677D62C1FC34040,Private Commercial,2017,036-017D(C&D),Columbia,Sample & Son C&D,Construction and Demolition Landfill,23,2529067,161,240,34,33.52438889,-82.25889917
0101000020E6100000CA364FF900DB54C0F0F7EE034E193F40,Public,2017,037-010D(MSWL),Cook,Taylor Road MSWL S2,Municipal Solid Waste Landfill,24,699429,41,82,30,31.09884667,-83.42193444
0101000020E61000004CDF4AFAA4DB54C032582F8EE3183F40,Public,2017,037-011D(C&D),Cook,CR216 C&D,Construction and Demolition Landfill,25,1183739,14,28,151,31.09722222,-83.43194444
0101000020E61000005C0C3743DE9854C0639FBE6DBF124040,Public,2017,138-006D(MSWL),Toombs,S1898 MSWL P3,Municipal Solid Waste Landfill,83,705488,174,348,7,32.14646694,-82.38856583
0101000020E6100000A61D8A44193755C060F814427FAE4040,Public,2017,038-015D(C&D),Coweta,Ishman Ballard Road C&D,Construction and Demolition Landfill,26,141947,19,47,10,33.36325861,-84.86091722
0101000020E6100000EDA2011FF0EF54C0A29A5090F1DD3F40,Public,2017,040-008D(MSWL),Crisp,US41S MSWL S2 P4-5,Municipal Solid Waste Landfill,27,7188780,179,372,74,31.86696722,-83.74903083
0101000020E6100000EDA2011FF0EF54C0A29A5090F1DD3F40,Public,2017,040-008D(MSWL),Crisp,US41S MSWL S2 P4-5,Municipal Solid Waste Landfill,28,119349,11,22,21,31.86696722,-83.74903083
0101000020E6100000B046C9ED0F1A55C0E3301CF8E6B53E40,Public,2017,043-011D(MSWL),Decatur,US27 MSWL,Municipal Solid Waste Landfill,29,79486,27,77,4,30.71055556,-84.40722222
0101000020E6100000B046C9ED0F1A55C0E3301CF8E6B53E40,Public,2017,043-011D(MSWL),Decatur,US27 MSWL,Municipal Solid Waste Landfill,30,4986609,285,390,45,30.71055556,-84.40722222
0101000020E61000005376FA415D1055C0FFCC203EB0D34040,Public,2017,044-037D(SL),DeKalb,Seminole Road SL P2,Construction and Demolition Landfill,31,82742,0,0,100,33.653816,-84.255692
0101000020E61000002D08C46FB30655C03E13ED6C40DE4040,Private Commercial,2017,044-041D(L),DeKalb,Rogers Lake Road C&D,Construction and Demolition Landfill,32,0,0,0,0,33.73634111,-84.10470194
0101000020E610000050581CAD2E1055C0D930D84706D44040,Public,2017,044-050D(SL),DeKalb,"Seminole Road SL P2A,3-4 ",Municipal Solid Waste Landfill,33,44042216,1779,2245,78,33.65644167,-84.25284889
0101000020E6100000A1100187D00155C079CBB48164883F40,Public,2017,047-014D(SL),Dougherty,Fleming/Gaissert Road SL,Municipal Solid Waste Landfill,34,1406490,362,550,8,31.53278361,-84.0283525
0101000020E6100000A1100187D00155C079CBB48164883F40,Public,2017,047-014D(SL),Dougherty,Fleming/Gaissert Road SL,Municipal Solid Waste Landfill,35,6420144,317,515,41,31.53278361,-84.0283525
0101000020E61000002EBC3F9C0F0355C0789CA223B9903F40,Private Commercial,2017,047-023D(C&D),Dougherty,Maple Hill C&D,Construction and Demolition Landfill,36,9809392,223,372,106,31.565325,-84.04782778
0101000020E610000062E54479EE3355C03D54E8F6F1E04040,Public,2017,048-009D(SL),Douglas,Cedar Mtn Worthan Road SL P1 ,Construction and Demolition Landfill,37,376685,101,203,6,33.75738417,-84.81143028
0101000020E6100000FDDD3B6A4C7554C039DACC7C620D4040,Public,2017,054-006D(C&D),Evans,Little Bull Creek C&D,Construction and Demolition Landfill,38,2299033,71,143,59,32.1045681,-81.832789
0101000020E610000018F1D743BF4D55C0C9857777EC184140,Public,2017,057-020D(MSWL),Floyd,Rome Walker Mtn Road MSWL S2,Municipal Solid Waste Landfill,39,4151480,286,572,24,34.19471639,-85.21479889
0101000020E6100000B046C9ED0F4E55C0638C7A4E1B184140,Public,2017,057-021D(C&D),Floyd,Rome Walker Mtn Road C&D,Construction and Demolition Landfill,40,260841,46,48,5387,34.18833333,-85.21972222
0101000020E6100000C10833D0690F55C0909DF9CDAB294140,Private Commercial,2017,058-012D(MSWL),Forsyth,Eagle Point MSWL,Municipal Solid Waste Landfill,41,17984035,5939,7199,9,34.32555556,-84.24083333
0101000020E6100000C10833D0690F55C0909DF9CDAB294140,Private Commercial,2017,058-012D(MSWL),Forsyth,Eagle Point MSWL,Municipal Solid Waste Landfill,42,2571948,255,364,25,34.32555556,-84.24083333
0101000020E610000002EDF58B250355C0D0A6B8E417234140,Private Commercial,2017,058-013D(C&D),Forsyth,Greenleaf Recycling C&D,Construction and Demolition Landfill,43,185990,220,440,1,34.27416667,-84.04916667
