the_geom,sector,reporting_year,permit,county,facility,type,cartodb_id,remaining_capacity,average_daily_tons,rate_of_fill,years_remaining,latitude,longitude
0101000020E61000006D1760406B1855C0BE86BFAAA30E4140,Private Commercial,2017,060-072D(L),Fulton,Chadwick Road C&D,Construction and Demolition Landfill,44,463412,456,830,2,34.11436972,-84.38154611
0101000020E610000092C1DD9B572755C00DD68BE338C64040,Private Commercial,2017,060-088D(C&D),Fulton,Safeguard C&D,Construction and Demolition Landfill,45,4825714,2223,2615,7,33.54861111,-84.61472222
0101000020E61000005891F20F322855C0E877CC063AC54040,Private Commercial,2017,060-089D(C&D),Fulton,Willow Oak C&D,Construction and Demolition Landfill,46,10541880,1171,1802,20,33.54083333,-84.62805556
0101000020E610000043179A0C033155C0CC33C4EB59414140,Public,2017,064-016D(SL),Gordon,Redbone Ridges Road SL,Municipal Solid Waste Landfill,47,14758425,953,1095,49,34.51055667,-84.76581111
0101000020E6100000C1DD1F10A40E55C0CA335095C6E13E40,Public,2017,065-002D(SL),Grady,Cairo 6th Avenue SL,Unlined Sanitary Landfill,48,377011,36,72,21,30.88193639,-84.22876361
0101000020E6100000C1DD1F10A40E55C0CA335095C6E13E40,Public,2017,065-002D(SL),Grady,Cairo 6th Avenue SL,Unlined Sanitary Landfill,49,51782,77,154,1,30.88193639,-84.22876361
0101000020E6100000AEDDB04C830255C0FBC8EF65890F4140,Private Commercial,2017,067-032D(SL),Gwinnett,BFI Richland Creek Road MSWL,Municipal Solid Waste Landfill,50,10351781,2366,2958,12,34.12138056,-84.03926389
0101000020E6100000594356755EDD54C012226CBA16474140,Public,2017,068-020D(SL),Habersham,SR13 MSWL,Municipal Solid Waste Landfill,51,45751,17,45,4,34.55538111,-83.45889028
0101000020E6100000594356755EDD54C012226CBA16474140,Public,2017,068-020D(SL),Habersham,SR13 MSWL,Municipal Solid Waste Landfill,52,1250154,60,100,44,34.55538111,-83.45889028
0101000020E6100000EC5ACEE754F354C0B9279BB421244140,Private Commercial,2017,069-014D(C&D),Hall,RTS C&D,Construction and Demolition Landfill,53,880927,542,834,4,34.28227861,-83.80205722
0101000020E6100000597D5CB83FF354C08E809FAB0C1F4140,Public,2017,069-015D(MSWL),Hall,Candler Road SR60 MSWL,Municipal Solid Waste Landfill,54,5125770,327,654,25,34.24257417,-83.80076417
0101000020E6100000E08D1E2222F254C0A74A292222224140,Private Commercial,2017,069-017D(C&D),Hall,Gainesville Waste and Recycling C&D,Construction and Demolition Landfill,55,4828128,111,158,107,34.26666667,-83.78333333
0101000020E6100000ADC41B1D804E55C065E0A1A4978A4040,Public,2017,071-006D(C&D),Haralson,HCSWA US78 C&D,Construction and Demolition Landfill,56,299016,57,114,9,33.08275278,-85.22656944
0101000020E610000016B7975594E354C0CFBE132F26334040,Public,2017,076-024D(C&D),Houston,SR247 Klondike C&D,Construction and Demolition Landfill,57,2356295,227,409,19,32.39960278,-83.55592861
0101000020E61000006FA88C3D839B54C06E797ADF578B4040,Public,2017,081-011D(MSWL),Jefferson,CR138 MSWL,Municipal Solid Waste Landfill,58,1170226,28,56,73,33.08861917,-82.42988528
0101000020E6100000D2D0B317590D55C0BE844C2A018B4040,Public,2017,085-007D(MSWL),Lamar,Cedar Grove Regional MSWL,Municipal Solid Waste Landfill,59,5334706,215,321,59,33.08597306,-84.20856278
0101000020E61000008B80F1A92F6954C0196F4CCB1FE33F40,Public,2017,089-010D(SL),Liberty,US Army Fort Stewart SL,Unlined Sanitary Landfill,60,312272,22,45,24,31.88720389,-81.64353417
0101000020E61000008B80F1A92F6954C0196F4CCB1FE33F40,Public,2017,089-020D(L),Liberty,US Army Fort Stewart C&D,Construction and Demolition Landfill,61,82030,5,11,27,31.88720389,-81.64353417
0101000020E6100000FBF6018A09D754C057C94B27A7D23E40,Private Commercial,2017,092-022D(MSWL),Lowndes,Advanced Disposal Services Evergreen MSWL,Municipal Solid Waste Landfill,62,21678903,1457,1766,44,30.82286306,-83.35995722
0101000020E61000006BC58A5CE80055C0538BF3FD752E4040,Public,2017,094-009D(MSWL),Macon,Middle Georgia SWMA Regional MSWL,Construction and Demolition Landfill,63,201204,46,116,7,32.36297583,-84.01418222
0101000020E6100000890B1F958B3555C0185F93B922974040,Private Commercial,2017,099-019D(MSWL),Meriwether,Greenbow Turkey Run MSWL,Municipal Solid Waste Landfill,64,29764320,1848,2640,39,33.18074722,-84.83664444
0101000020E6100000966A13E55AFA54C068143F84408C4040,Public,2017,102-008D(SL),Monroe,Strickland Loop Road MSWL,Municipal Solid Waste Landfill,65,2225357,66,132,60,33.09571889,-83.91179778
0101000020E61000005BCF319CC22E55C0A7CD7A2923574140,Public,2017,105-014D(MSWL),Murray,US411 Westside MSWL S2,Municipal Solid Waste Landfill,66,12576413,86,108,428,34.68076056,-84.73062806
0101000020E61000008C2C7855903655C0CAEFE150473E4040,Public,2017,106-016D(MSWL),Muscogee,Columbus Pine Grove MSWL,Municipal Solid Waste Landfill,67,973185,17,67,56,32.48655139,-84.85255944
0101000020E61000008C2C7855903655C0CAEFE150473E4040,Public,2017,106-016D(MSWL),Muscogee,Columbus Pine Grove MSWL,Municipal Solid Waste Landfill,68,4261697,278,434,38,32.48655139,-84.85255944
0101000020E610000054A5141111F954C0A54B41AF26C64040,Public,2017,107-015D(MSWL),Newton,Lower River Road MSWL HE-VE,Municipal Solid Waste Landfill,69,8378408,288,457,61,33.54805556,-83.89166667
0101000020E6100000A396C5481F3355C0C3B85D603D024140,Public,2017,110-005D(SL),Paulding,Gulledge Road North SL T1,Construction and Demolition Landfill,70,20695,0,1,128,34.01749806,-84.79878444
0101000020E610000013C15155552155C06666666666464140,Private Commercial,2017,112-008D(C&D),Pickens,Whitestone Valley C&D,Construction and Demolition Landfill,71,3890030,100,161,84,34.55,-84.52083333
0101000020E61000003DE92BE5C84A55C00ECC5D8D64FF4040,Public,2017,115-008D(SL),Polk,Grady Road SL,Municipal Solid Waste Landfill,72,19923384,2082,2974,26,33.99525611,-85.16851167
0101000020E61000004ED21D4096DA54C0C72024C9FB674140,Public,2017,119-006D(C&D),Rabun,Boggs Mountain Road C&D,Construction and Demolition Landfill,73,148694,13,29,19,34.81237139,-83.41542056
0101000020E61000003CFBA9758B8F54C0E1DCF4A16AAF4040,Public,2017,121-014D(SL),Richmond,US Army Fort Gordon Gibson Road SL P1-3,Construction and Demolition Landfill,74,136457,3,6,222,33.37044167,-82.24288694
0101000020E6100000D2DF6CEF2A8954C0C5E4CB1321AD4040,Public,2017,121-016D(SL),Richmond,Deans Bridge Road SL P2C,Municipal Solid Waste Landfill,75,328582,0,0,0,33.35257194,-82.14324556
0101000020E610000017AD2F54768854C0225FD769032D4040,Public,2017,121-018D(MSWL),Richmond,Deans Bridge Road MSWL P3,Municipal Solid Waste Landfill,76,63209965,1248,1510,134,32.35166667,-82.13222222
0101000020E6100000085E4614C71755C0BA3EDE712B3B4040,Private Commercial,2017,133-003D(SL),Taylor,WI Taylor County Disposal MSWL,Municipal Solid Waste Landfill,77,6689790,1786,1429,17,32.46226333,-84.37152583
0101000020E6100000085E4614C71755C0BA3EDE712B3B4040,Private Commercial,2017,133-003D(SL),Taylor,WI Taylor County Disposal MSWL,Municipal Solid Waste Landfill,78,38753195,2420,3025,46,32.46226333,-84.37152583
0101000020E6100000AE2B879220BA54C032E6AE25E4E33F40,Public,2017,134-015D(MSWL),Telfair,CR144 MSWL,Municipal Solid Waste Landfill,79,233134,40,80,10,31.8902,-82.90823806
0101000020E6100000C7F3F84186FA54C006D9D38A46D23E40,Public,2017,136-017D(C&D),Thomas,Thomasville Sunset Drive C&D P3,Construction and Demolition Landfill,80,3060716,73,282,39,30.82138889,-83.91444444
0101000020E6100000E08D1E2222FA54C0CDCCCCCCCCCC3E40,Public,2017,136-018D(MSWL),Thomas,Thomasville Sunset Drive MSWL P4-5,Municipal Solid Waste Landfill,81,9937324,320,641,56,30.8,-83.90833333
0101000020E6100000448104E65DE254C0BF7F35FF965B3F40,Public,2017,137-007D(SL)(3),Tift,Tifton Omega Eldorado Road SL P3,Municipal Solid Waste Landfill,82,841193,176,243,12,31.35777278,-83.53698111
0101000020E6100000733CF2499F9854C02682A3AAAA124040,Public,2017,138-007D(C&D),Toombs,S1898 C&D,Construction and Demolition Landfill,84,10298,27,54,1,32.14583333,-82.38472222
0101000020E6100000449F7695013D55C0BDAC47E9EB854040,Public,2017,141-013D(SL),Troup,LaGrange I85 SR109 SL,Municipal Solid Waste Landfill,85,8258,5,9,3,33.04626194,-84.95322167
0101000020E6100000449F7695013D55C0BDAC47E9EB854040,Public,2017,141-013D(SL),Troup,LaGrange I85 SR109 SL,Municipal Solid Waste Landfill,86,1862076,400,571,11,33.04626194,-84.95322167
0101000020E6100000FD444C26BA3955C07EB7CC2B4F844040,Public,2017,141-023D(SL),Troup,SR109 Mountville SL P2,Construction and Demolition Landfill,87,13723,51,103,1,33.03366611,-84.90198667
0101000020E610000056D4601A06DC54C031B610E4A0624040,Private Commercial,2017,143-008D(SL),Twiggs,Wolf Creek MSWL,Municipal Solid Waste Landfill,88,6938456,1715,2287,11,32.770535,-83.4378725
0101000020E6100000ADDCEABD215155C035CEC73169554140,Public,2017,146-013D(L),Walker,LaFayette Coffman Springs Road C&D,Construction and Demolition Landfill,89,77512,3,6,51,34.66727278,-85.26768444
0101000020E6100000ED340CFE425755C0F558867A726B4140,Public,2017,146-015D(MSWL),Walker,Marble Top Road MSWL S2,Construction and Demolition Landfill,90,54041,111,222,1,34.83943111,-85.36346389
0101000020E61000005EF1D4230DEB54C0A8C821E2E6E84040,Private Commercial,2017,147-012D(C&D),Walton,Republic US78 C&D,Construction and Demolition Landfill,91,13434785,0,0,103345,33.819546,-83.672677
0101000020E6100000626896806FE654C0BD1C55D148F04040,Private Commercial,2017,147-013D(C&D),Walton,Walton C&D,Construction and Demolition Landfill,92,1298459,454,908,5,33.87722222,-83.60055556
0101000020E610000064677EF36AE654C0C21A25B73FF04040,Private Commercial,2017,147-014D(C&D),Walton,Caruthers Mill C&D,Construction and Demolition Landfill,93,7788993,1350,2251,12,33.87694444,-83.60027778
0101000020E6100000A09869B93B7C54C0D74E315A89783F40,Private Commercial,2017,151-014D(SL),Wayne,Republic Services Broadhurst Environmental,Municipal Solid Waste Landfill,94,46523182,1693,1902,86,31.47084583,-81.94114528
0101000020E6100000CD5D8573D13C55C02FAE86FE68534140,Public,2017,155-047D(SL),Whitfield,Dalton Old Dixie Hwy MSWL P6,Municipal Solid Waste Landfill,95,6088623,609,861,23,34.65164167,-84.95028389
0101000020E610000019AC17C7713C55C080127E2DD8524140,Public,2017,155-048D(LI),Whitfield,DWRSWA Old Dixie Hwy Baled Carpet,Industrial Landfill,96,513102,131,392,4,34.64722222,-84.94444444
