the_geom,cartodb_id,county,economic_region,wia_region
0106000020E61000000100000001030000000100000022000000D80B056C07D354C0DFA9807B9E073F40B0AD9FFEB3CC54C03E7FDAA84E073F406155BDFC4ECC54C0799274CDE40F3F40D522A298BCCA54C0E886A6ECF40F3F401C78B5DC99CA54C00F74B4AA25253F4010CB660E49C254C07F85CC9541253F403D635FB2F1C254C0B5A338471D313F408449F1F109C354C08BF9B9A1293B3F404DBA2D910BC254C088BEBB9525463F4089B5F81400C354C0A6CD380D51493F40A3C343183FC454C02FC03E3A75553F400CCD751A69C654C0D6851F9C4F593F4098F6CDFDD5C854C04E8578245E663F40E1270EA0DFC854C017213CDA386A3F40433A3C84F1C954C0A4BE2CEDD4783F40F3E2C4573BD554C05A09DD25717A3F400164E8D841D554C0CF0CE2033B763F40334A97FE25D754C06549809A5A763F40A69201A08AD754C0BA25396057673F40B3B6291E17D854C040B7973446673F40826C59BE2ED854C01AC1C6F5EF623F40D009A1832ED954C0DA89929048633F40359BC76130D954C0325871AAB5603F408C4D2B8540DA54C089E42B8194603F407ADE8D0585DB54C05858703FE0593F402577D84466DB54C07EE9EDCF454B3F4062821ABE85D854C026FE28EACC413F40ECDFF599B3D554C0BC18CA89763D3F406E3480B740D554C02E742502D52F3F4051BD35B055D354C08EC360FE0A293F40A033695375D454C00FEB8D5A611E3F4073DA53724ED454C09F56D11F9A193F40B7EEE6A90ED254C01CC70F9546103F40D80B056C07D354C0DFA9807B9E073F40,10,Berrien,11,18
0106000020E610000001000000010300000001000000150000001CB0ABC953ED54C0304CA60A465740406F1283C0CAE554C0BB9D7DE5415440406DE2E47E87E654C086FF740305564040D5CDC5DFF6E554C01BBE8575E35B4040C0CDE2C5C2DE54C0B7D4415E0F6840403D64CA87A0E054C0D8497D59DA6B40409A1F7F6951E154C0A6F0A0D9756B40405A457F68E6E354C01EDFDE35E86F40400953944BE3E454C0FFCF61BEBC6E4040305EF3AACEE554C0EE004F5AB87040405E4A5D328EE954C0B950F9D7F270404043AED4B320EA54C028452BF7027340404084B872F6EB54C01A5245F12A754040A12DE7525CED54C06E4DBA2D91794040684128EFE3F854C09FE1CD1ABC6B4040881057CEDEF854C039B35DA10F6840403F00A94D9CF754C0B5DFDA8992664040AAF413CE6EF454C086AE44A0FA5D40405EA27A6B60F154C0F92CCF83BB5B4040CA8D226B0DEF54C09F55664AEB5740401CB0ABC953ED54C0304CA60A46574040,11,Bibb,6,10
0106000020E6100000010000000103000000010000000C000000C33F6CE9D1D554C00FB6D8EDB32240400588821953D254C05308E41247284040826F9A3E3BD354C022C50089262A404001BD70E7C2CA54C0CBF78C4468384040BBECD79DEEC854C0E2ADF36F97354040B323D5777ECE54C0DAC70A7E1B4A4040C2C2499A3FDA54C00DAA0D4E443F4040DD1CAED51EDA54C0CDCEA2772A3E404046088F368EDF54C0F56915FDA1394040274F594DD7DE54C0F418E5999735404066D5E76A2BDF54C007CA6DFB1E334040C33F6CE9D1D554C00FB6D8EDB3224040,12,Bleckley,9,16
0106000020E61000000100000001030000000100000020000000F7578FFB567B54C038D4EFC2D60C3F404A7A185A9D7A54C0DBB75A272E173F40C91D3691997554C0094FE8F527193F40FF58880E817354C00322C495B3233F40A6B8AAECBB7154C0BB5983F755253F403DCA880B407154C003594FADBE2A3F406347E350BF6F54C05966118AAD443F40B62A89EC836E54C0CF66D5E76A4B3F4019FED30D146E54C010902FA182533F4024B891B2457054C0A5B5696CAF593F408DD31055F87254C089213999B85D3F400397C79A917954C0490ED8D5E4593F4068B114C9578254C06C2A8BC22E5E3F4055D97745F08154C098DF6932E3593F40E78A5242B07F54C040F2CEA10C513F4021FFCC203E7E54C0172EABB019503F4077962023A07E54C037FC6EBA654B3F4084D89942E77F54C0838252B472473F4026378AAC358654C0EF04FBAF73473F4069A7E672838854C094347F4C6B433F40F27684D3828954C024BA675DA3393F4080F10C1AFA8B54C0AE9D280989343F40EF7211DF898D54C0D3122BA391373F405621E527D59154C0498446B071393F404721C9ACDE9154C08EFAEB1516303F401D3EE944828E54C0D5E6FF55472A3F40FC1D8A027D8D54C077F2E9B12D2B3F405C035B25588D54C0B0928FDD05163F40062AE3DF678854C0001DE6CB0B043F403BC3D4963A8554C0342A70B20D043F40D15966118A8354C036EA211ADD113F40F7578FFB567B54C038D4EFC2D60C3F40,13,Brantley,11,18
0106000020E6100000010000000103000000010000001F000000D15AD1E638EF54C02A1BD65416A93E405053CBD6FAE654C05890662C9AA63E406F8099EFE0D354C0F78E1A1362A23E408EB27E3331D554C0008A912573A43E40B62C5F97E1D654C01E662FDB4EA33E407B8505F703D754C09B90D61874A63E40DBC1887D02D954C043A9BD88B6AB3E4050E27327D8DB54C0BC067DE9EDAF3E40793BC269C1DC54C06E8B321B64B23E4077DA1A118CDE54C0FA761211FEBD3E4028B2D6506ADE54C0C3B12E6EA3C13E4058147651F4DC54C07286E28E37C53E4036035C902DDC54C0B41666A19DCF3E407289230F44DA54C058DB148F8BD23E40FB07910C39D854C031C687D9CBD23E405C936E4BE4D654C03541D47D00D63E40D4AE09698DD654C0F55D11FC6FD93E40AC1BEF8E8CD754C060E28FA2CEE03E406BD784B4C6D954C09E280989B4E13E404B74965984DB54C01EFF058200E53E40069D103AE8DB54C09A1E1494A2E93E408FA50F5D50DB54C00648348122F23E403B56293DD3DB54C02215C61682F83E40EBE1CB4411DD54C033B91803EBFC3E403A765089EBDD54C05A84622B68063F40D3F6AFAC34E054C03BFDA02E520C3F40A7514832ABE254C0EB1A2D077A0C3F405265187783E454C09F1F46088F123F40E867EA758BE454C08864C8B1F5083F40971FB8CA13EF54C0604F3BFC35093F40D15AD1E638EF54C02A1BD65416A93E40,14,Brooks,11,18
0106000020E6100000010000000103000000010000001D0000005031CEDF845355C074B515FBCBBE404073672618CE5255C040FA264D83B64040D349B6BA9C4055C00E4FAF9465B64040130F289B723E55C08192020B60BA404002ECA353573B55C0E607AEF204B8404005A4FD0FB03A55C03048FAB48AB84040B65D68AED33855C08A1C226E4EBD404019CBF44BC43655C074B4AA251DBF404065C6DB4AAF3555C0425E0F26C5C14040878C47A9843455C072361D01DCC24040A452EC681C3455C0E38BF67821C940407E68E6C9353455C0F9F719170ECA40404D4BAC8C463555C0EA211ADD41CA4040C87553CA6B3555C0D8D0CDFE40C94040F279C5538F3955C04E92AE997CC9404020459DB9873955C0AC8F87BEBBDB404095B1A19BFD3955C0F19F6EA0C0DB40405B07077B133A55C0C11F7EFE7BDE4040172AFF5A5E3955C0F660527C7CDE40405AF2785A7E3955C0460BD0B69AE34040A435069D103B55C0B5C01E1329E54040213D450E114255C067D5E76A2BE84040B587BD50C04255C05DDF878384E84040108FC4CBD34255C07B12D89C83DB40402C0FD253E44755C001BEDBBC71D84040CD920035B54855C0EE27637C98D940401F477364E55055C0C991CEC0C8D3404029E96168755555C0DB19A6B6D4D340405031CEDF845355C074B515FBCBBE4040,22,Carroll,4,8
0106000020E61000000100000001030000000100000023000000B32616F88A5254C0448F183DB7CC3F405B785E2A364B54C03A1A87FA5DBC3F4098FA7953914C54C0FE43FAEDEBC83F40C43E0114234B54C0EBC891CEC0CC3F40E3310395F14A54C00778D2C265D13F40469561DC0D4954C04262BB7B80DA3F406000E143894B54C0554E7B4ACEE53F4089230F44164E54C0A08D5C37A5E43F40ADB8382A374D54C05ED5592DB0EB3F40EEC9C342AD4F54C0EFCB99ED0AE53F405E143DF0315254C0E0B54B1B0EF33F4093A0BFD0235254C020E527D53EF93F4009168733BF5354C0058BC3995FFD3F40E36DA5D7665454C0B22C98F8A30240402B6C06B8205754C0A41820D104064040170CAEB9A35854C019028063CF0C4040713AC956975954C00C03965CC50E4040A1815836735A54C0766B990CC7194040AF997CB3CD5B54C08202EFE4D31D404059FB3BDBA37154C09C69C2F69313404010E84CDA547054C01DC87A6AF50D40401E1B81785D6D54C0DC645419C60B4040DB9DB5DB2E6854C009C1AA7AF905404080D3BB783F6554C0483140A209F83F407FC16ED8B66354C01A34F44F70F53F40E882FA96396154C0E782FA9639F53F40C7681D554D5E54C09DD5027B4CF83F4061C5A9D6C25D54C08195438B6CF33F40CB2C42B1155A54C0F73DEAAF57F03F407F1475E61E5854C0160D198F52D93F407FA5F3E1595554C0BC5301F73CD73F4014967840D95454C0B800344A97D23F40029D499BAA5354C05F3B18B14FD03F40DCBB067DE95254C067800BB265D13F40B32616F88A5254C0448F183DB7CC3F40,15,Bryan,12,20
0106000020E6100000010000000103000000010000001F000000AF997CB3CD5B54C08202EFE4D31D4040A0C1A6CEA35D54C0C4387F130A2940409B58E02BBA5E54C010C8258E3C2A4040FFB0A547536254C07116F6B4C33340400C3ECDC98B6254C02AFEEF880A35404019710168946154C0213CDA38623940409DBCC804FC6254C04C6E14596B3E4040DEC9A7C7B66454C0BBB88D06F04040401250E108526654C002124DA088414040D07EA4880C6854C0C5591135D1434040AEF199EC9F6B54C0B45BCB64384640407D76C075C57154C0FF56B263234E40408F39CFD8977354C0E1B88C9B1A5240405E2BA1BB247654C09F3C2CD49A524040C669882AFC7F54C077137CD3F44D40406BD44334BA8154C01CD3139678484040ABAB02B5188254C08A5242B0AA4440407BBC900E0F7E54C0D89AADBCE4414040AC36FFAF3A7E54C0C1525DC0CB3E40402B85402E717D54C0795DBF60373A40400F290648347A54C08EFAEB15163440400A4D124BCA7C54C04CDD955D30244040849ECDAACF7D54C055A35703942240404D4C1762F57854C009A7052FFA2240405D70067FBF7654C04B732B84D5204040575BB1BFEC7554C00B444FCAA41E40405B07077B137454C020D3DA34B61D40408E75711B0D7354C0D1AFAD9FFE1B40405D52B5DD047354C0E257ACE12219404059FB3BDBA37154C09C69C2F693134040AF997CB3CD5B54C08202EFE4D31D4040,16,Bulloch,12,20
0106000020E610000001000000010300000001000000240000009191B3B0A79454C0B6696CAF056B4040CD0358E4D78D54C0E89C9FE238664040B56E83DA6F8954C03F58C6866E6840407EA0DCB6EF8754C0D1CB28965B7040403CBD5296218554C06EDA8CD3107540409DF529C7647C54C0503A9160AA754040787B1002F27654C07445292158794040BF9EAF592E7254C0D7DB662AC4754040151E34BBEE7054C0304B3B3597734040AB8E1CE90C6354C0C49448A2978540401BA19FA9D76354C07BF486FBC88740408940F50F226654C00458E4D70F894040F33D23111A6754C01BF4A5B73F8B40403E0801F9126D54C0761A69A9BC8F4040632B685A626F54C00951BEA085924040EF5701BEDB7054C08D429259BD954040F148BC3C9D7054C02288F37002994040DCF126BF457154C0E08096AE609B4040648BA4DDE87154C0178046E9D29B404062A3ACDF4C7354C02C616D8C9D9A40402B29779FE37354C0209BE447FC9C40403E373465A77654C06CACC43C2B9F4040DAAB8F87BE7954C02B1895D409A240401BBCAFCA857D54C023ED461FF39D4040CC26C0B0FC8154C090D61874429E40404ED53DB2B98354C05E9B8D95989F40405E83BEF4F68454C07CEE04FBAF9D4040FC1BB4571F8654C0C5C89239969D4040413EE8D9AC8954C0CADC7C23BAA54040C1E3DBBB068B54C0B0045262D7A6404044520B25939154C03B191C25AFA24040DB6FED44499054C0D66F26A60BA14040D4F19881CA8E54C0357EE195249D4040EB6E9EEA909254C0E925C632FD8A40404D0CC9C9C49154C074B2D47ABF7540409191B3B0A79454C0B6696CAF056B4040,17,Burke,7,12
0106000020E6100000010000000103000000010000001B0000001EDFDE35E80755C0D74E9484449A4040CB2A6C06B80255C0BAC0E5B1669A40405694128255F754C0D76B7A50509A4040EE79FEB451F454C0506EDBF7A89740403CBD529621F454C06FB88FDC9A984040C171193735F554C03276C24B709C404072DD94F25AF454C05AB8ACC266A04040325706D506F554C0DDCD531D72A34040EE940ED6FFF454C0450E1137A7A64040BE89213999F554C042EA76F695A9404042959A3DD0F654C0766B990CC7AB4040D1B2EE1F0BF754C05C57CC086FAF4040A6D3BA0D6AFB54C0E00B93A982B94040BEA1F0D93AFF54C09546CCECF3B240405FB69DB646FE54C0081C0934D8B2404060014C1938FE54C0F755B950F9B140407D21E4BCFFFF54C0DD0A613596AE40402C9B3924B50155C06153E751F1AD4040170E8464010255C03599F1B6D2AB4040B9FAB1497E0355C0863DEDF0D7AA4040F8A41309A60355C0F5A0A014ADA84040E15F048D990455C04ED53DB2B9A8404019CBF44BC40455C0F758FAD005A740408255F5F23B0655C0CCF09F6EA0A64040D00EB8AE980555C0F92EA52E19A54040A587A1D5C90755C00FF27A3029A040401EDFDE35E80755C0D74E9484449A4040,18,Butts,4,8
0106000020E61000000100000001030000000100000032000000D97C5C1B2A1B55C043DFDDCA12713F40802A6EDC621A55C0FEB968C878743F4005871744A41C55C00F3FFF3D78913F4030D7A205681C55C0F33977BB5E9E3F40B96FB54E5C2255C0ACA580B4FF9D3F40F52B9D0FCF2255C0A6052FFA0A9E3F40A609DB4FC62255C0D6ABC8E880A03F40A42DAEF1992355C067D47C957CA03F40F964C570752355C039639813B49D3F405BED612F142455C084640113B89D3F40B5C6A013422455C0C8F143A511A33F4046C9AB730C2555C0BF75C58CF0A23F40B6BDDD921C2555C0B6FF01D6AA9D3F40B2BD16F4DE2555C0C408E1D1C69D3F40F67F0EF3E52555C083E49D4319A23F4081AFE8D66B2755C0490D6D0036A03F40FE45D098492855C00A2B155454A53F406C585359142955C0C4E6E3DA50A53F40A8E15B58372955C003931B45D6A23F40029D499BAA2955C0DD43C2F7FEA23F4062105839B42955C0F6AB00DF6D9E3F40B8E52329E93355C03C69E1B20A9F3F40DCD8EC48F53355C00E971C774A9B3F4064CC5D4BC83455C0A4BDC117269B3F409A0AF148BC3455C0BE1072DEFF973F407A1A3048FA3355C0635DDC4603983F40340D8AE6013455C07264E597C1903F402BA1BB24CE3255C011001C7BF6903F4053CA6B25743355C097C80567F08B3F40C74274081C3455C08750A5660F8C3F4011329067973355C09F758D9603853F40FC89CA86353455C077103B53E8843F40761A69A9BC3455C0E4D6A4DB12813F40CA6C9049463455C0D70FB1C1C27D3F4065666666663355C0895759DB147F3F40FEB627486C3355C05AB05417F0823F409AB33EE5983255C0FF942A51F6823F40205F4205873255C0C78157CB9D793F4026C808A8703355C0CC1E680586783F4075B169A5103255C07C8159A1486F3F4085285FD0422855C0F03499F1B66E3F40075740A19E1F55C01F82AAD1AB6D3F40A0A70183A41F55C0D8B969334E6F3F40E77283A10E1E55C063F20698F96E3F4080936DE00E1E55C02A3DD34B8C713F40261AA4E0291D55C0EED0B01875713F407218CC5F211D55C0255B5D4E09743F401233FB3C461C55C0A3FACE2F4A743F40771211FE451C55C0FBC8AD49B7713F40D97C5C1B2A1B55C043DFDDCA12713F40,19,Calhoun,10,17
