the_geom,cartodb_id,county,economic_region,wia_region
0106000020E61000000100000001030000000100000031000000B45549641F8E54C0596FD40AD3873F4047AAEFFCA28A54C09ACDE330987B3F400C738236398854C069368FC3607A3F40D731AEB8388854C06DE7FBA9F18E3F4032AB77B81D8954C012B9E00CFE8E3F40F209D9791B8954C026016A6AD9923F40C48F31772D8854C040D653ABAF923F40105D50DF328854C06DC493DDCCC43F40F700DD97338554C00821205F42C53F408F519E79398554C0A3B437F8C2C83F40F9307BD9768654C0BE6C3B6D8DC83F4097C3EE3B868654C09CA73AE466CC3F40BF9EAF592E8554C09A0AF148BCCC3F40A19FA9D72D8554C0F06B2409C2D13F40CB83F414398354C0580229B16BD33F40BB9866BAD78654C09E7AA4C16DDD3F40BCCE86FC338754C0A245B6F3FDE43F4052D7DAFB548854C03D213B6F63E33F401E8D43FD2E8954C027D192C7D3E63F403BA1D79FC48B54C0E5CDE15AEDE53F4042226DE34F8E54C0B8CA13083BE93F4070B4E386DF8F54C04567994528EA3F4071C971A7749054C05C7171546EEE3F406CEA3C2AFE9154C0BA10AB3FC2F03F4038DC476E4D9354C085798F334DF03F40F146E6913F9454C071ADF6B017F23F401D226E4E259454C0C25087156EED3F405B7D7555A09754C09F1EDB32E0F03F4083A62556469854C0EA95B20C71F43F40C6A70018CF9854C013B69F8CF1F13F400AA359D93E9954C0D576137CD3F43F40F56393FC889954C00CAEB9A3FFF13F401878EE3D5C9B54C08077F2E9B1F53F4074999A046F9B54C0887D022846D63F4016342DB132A154C01AE0826C59D63F409A6038D730A154C0B66801DA56BF3F404371C79BFCA254C0A88B14CAC2BF3F4030D80DDB16A354C0CAD765F84FBB3F40F8C43A55BEA054C0467BBC900EBB3F40D3D7F335CBA054C0419DF2E846B43F40083D9B559F9F54C0C1266BD443B43F40F84F3750E09D54C09160AA99B5AC3F400514EAE9239B54C0906802452CA63F4087A5811FD59654C03DCBF3E0EEA03F400C3D62F4DC9254C02A53CC41D0953F40F6436CB0709154C0E658DE550F943F40FA28232E009154C0395B40683D903F401FD7868A718F54C03E5DDDB1D88E3F40B45549641F8E54C0596FD40AD3873F40,1,Appling,9,16
0106000020E610000001000000010300000001000000140000008813984EEBAA54C0B67BB94F8E2E3F406DC83F3388AC54C0A90B7899613B3F40BEDEFDF15EAC54C06B4B1DE4F5483F403D0CAD4ECEA954C0E80C8CBCAC493F4046274BADF7A754C0603FC4060B473F40CDB1BCAB1EA854C0F8C3CF7F0F5E3F404147AB5AD2B354C0834C3272165E3F401615713AC9B554C037BD8BF7E3663F403961C26856BD54C0AC58FCA6B0663F40A8A624EB70BD54C0A2EF6E65896A3F40E1270EA0DFC854C017213CDA386A3F4098F6CDFDD5C854C04E8578245E663F400CCD751A69C654C0D6851F9C4F593F40A3C343183FC454C02FC03E3A75553F4089B5F81400C354C0A6CD380D51493F404DBA2D910BC254C088BEBB9525463F408449F1F109C354C08BF9B9A1293B3F403D635FB2F1C254C0B5A338471D313F4050DF32A7CBBD54C05682C5E1CC2F3F408813984EEBAA54C0B67BB94F8E2E3F40,2,Atkinson,11,18
0106000020E61000000100000001030000000100000023000000F8A75489B29A54C08A5759DB146B3F40F017B325AB9954C0460C3B8C496B3F40162CD505BC9954C0953E74417D6F3F400FD3BEB9BF9554C02D93E1783E6F3F40D24CF73AA99554C072DD94F25A713F40B223D5777E9454C0FF6FECD973713F40DAE6C6F4849454C09FC03BF9F4743F4003D19332A99354C084B1852007753F400A100533A69354C0FF73982F2F783F40EE3D5C72DC9254C03D4162BB7B783F400CE9F010C69254C0F99B5088807F3F40691492CCEA9054C016139B8F6B7F3F402E1F49490F9054C07862D68BA1843F40A12B11A8FE8E54C025766D6FB7843F4016359886E18E54C09E616A4B1D883F40B45549641F8E54C0596FD40AD3873F401FD7868A718F54C03E5DDDB1D88E3F40FA28232E009154C0395B40683D903F40F6436CB0709154C0E658DE550F943F400C3D62F4DC9254C02A53CC41D0953F4087A5811FD59654C03DCBF3E0EEA03F400514EAE9239B54C0906802452CA63F40F84F3750E09D54C09160AA99B5AC3F40083D9B559F9F54C0C1266BD443B43F40D3D7F335CBA054C0419DF2E846B43F40FE60E0B9F7A054C0F605F4C29DAB3F40BB641C23D9A754C0D1798D5DA2AA3F40F6F065A208A854C08E3F51D9B08E3F40D4D688601CA654C0686E85B01A8F3F403F1F65C405A654C0B91B446B45773F4083FA96395D9F54C056B5A4A31C783F409ED2C1FA3F9F54C04FE1085229723F40E46A64575A9E54C0565F5D15A8713F40B32094F7719E54C0BF046EDDCD6B3F40F8A75489B29A54C08A5759DB146B3F40,3,Bacon,11,18
0106000020E6100000010000000103000000010000001C00000050C422861D0955C06E3315E291703F40132D793C2D1B55C03D3E213B6F6F3F40D97C5C1B2A1B55C043DFDDCA12713F40771211FE451C55C0FBC8AD49B7713F401233FB3C461C55C0A3FACE2F4A743F407218CC5F211D55C0255B5D4E09743F40261AA4E0291D55C0EED0B01875713F4080936DE00E1E55C02A3DD34B8C713F40E77283A10E1E55C063F20698F96E3F40A0A70183A41F55C0D8B969334E6F3F40075740A19E1F55C01F82AAD1AB6D3F4085285FD0422855C0F03499F1B66E3F4095D39E92732855C0833463D174423F40A0BFD023462155C000A3CB9BC3413F405706D506272255C07C3CF4DDAD143F4044132862112055C066D993C0E6143F402C4A09C1AA1F55C01CC87A6AF5213F405DFE43FAED1A55C0B360E28FA2323F40713AC956971955C01212691B7F323F4062EFC517ED1855C04C94BDA59C3B3F40920035B56C1655C07281CB63CD403F404EB4AB90F21455C06EC2BD326F4D3F4028D6A9F23D1355C090A50F5D50533F400D8CBCAC890E55C04DB9C2BB5C583F4070D234289A0C55C09B38B9DFA15C3F400D350A49660C55C01953B0C6D9643F407BF99D26330B55C00D4DD9E907653F4050C422861D0955C06E3315E291703F40,4,Baker,10,17
0106000020E610000001000000010300000001000000170000006765FB90B7C454C007B7B585E77740409488F02F82C454C05A12A0A6967B40408FE3874A23C354C0E4F38AA71E7D4040B4E89D0AB8C254C01DCBBBEA017F40405281936DE0C354C047B071FDBB824040D03B1570CFC254C0B41D537765874040812557B1F8C254C00858AB764D8A404015A930B610C554C023DDCF29C88940401421753BFBC654C06A4B1DE4F58A4040E5EE737CB4C654C0E1F1ED5D839040408A03E8F7FDC554C01F9F909DB7914040D270CADC7CC654C023F433F5BA934040E10D6954E0D154C062BB7B80EE974040AEBCE47FF2D454C0ADA7565F5D954040DD59BBED42DA54C0C68157CB9D974040635FB2F160DB54C0956247E350974040A2F14410E7D654C0E9B5D95889754040D26F5F07CECC54C058C2DA183B7D40401BD5E940D6CA54C01344DD07207B404005C4245CC8C854C0D5EAABAB028140405BD1E638B7C754C01C25AFCE3180404083A0A3552DC754C09981CAF8F77B40406765FB90B7C454C007B7B585E7774040,5,Baldwin,6,11
0106000020E61000000100000001030000000100000019000000F65E7CD11ED554C015FDA199271F4140744694F606D654C0C9E9EBF99A214140261B0FB6D8D554C01EBE4C1421234140CB129D6516D954C00B47904AB129414005C58F3177D854C0D50451F7013641400B76C3B645D954C0E3FC4D28443A41401ADCD6169ED954C0E94141295A3B4140F89E91088DDD54C05FD04202463D41407349D57613E354C09B90D618743E4140DB679599D2E454C0FA635A9BC63C41401B66683C11E654C030116F9D7F39414027DE019EB4E754C0BD344580D337414058552FBFD3E954C03A799109F83341408F662C9ACEEA54C00283A44FAB2E4140E770ADF6B0E954C09E42AED4B32C41409085E81038E954C044A4A65D4C2941402E3718EAB0E754C08D2958E36C2641407497C45911E454C039605793A72041409EB4705985E254C0C426327381214140D5B32094F7E054C0CB65A3737E2041401A82E3326EDF54C0DDE9CE13CF2141408675E3DD91D954C06E5166834C1A4140ED9DD15625D754C018AE0E80B81B41404D327216F6D654C0BB438A01121D4140F65E7CD11ED554C015FDA199271F4140,6,Banks,2,2
0106000020E610000001000000010300000001000000160000008D7F9F71E1E154C073F22213F0FB40404F232D95B7E354C0897B2C7DE804414063CA87A06AE854C0715985CD000741401CCEFC6A0EEC54C01FBC7669C307414080B9162D40ED54C0DD088B8A380741402EE57CB1F7EE54C0F7CC920035094140DC679599D2F054C076A6D0798D094140226FB9FAB1F154C0705B5B785E0A4140DC9DB5DB2EF254C04FB16A10E60C414035ECF7C43AF454C038F8C264AA104140B285200725F554C0BFD364C6DB0E414057AEB7CD54F754C059C0046EDDFF40404A7CEE04FBF354C0A1D79FC4E7FA404072E1404816F454C0734BAB2171F9404043554CA59FF354C054C4E9245BF94040AD6708C72CF354C0026553AEF0F640401538D906EEF254C00971E5EC9DF54040D6E253008CF054C0577A6D3656F2404038BD8BF7E3EE54C0C98E8D40BCF240402C7FBE2D58EB54C0AC55BB26A4F54040F777B6476FE954C0A25EF0694EF440408D7F9F71E1E154C073F22213F0FB4040,7,Barrow,5,9
0106000020E6100000010000000103000000010000000F000000849ECDAACF7D54C055A35703942240400A4D124BCA7C54C04CDD955D302440400F290648347A54C08EFAEB15163440402B85402E717D54C0795DBF60373A4040AC36FFAF3A7E54C0C1525DC0CB3E40407BBC900E0F7E54C0D89AADBCE4414040ABAB02B5188254C08A5242B0AA44404049861C5BCF8554C0833463D1744640404A46CEC29E8954C0B98C9B1A6842404086200725CC8B54C0991249F4323C4040DD3F16A2438C54C0406B7EFCA53540407FBDC282FB8F54C0451152B7B32B40400A302C7FBE8E54C063F030ED9B2740402FA699EE758154C03695456117234040849ECDAACF7D54C055A3570394224040,21,Candler,9,16
0106000020E6100000010000000103000000010000001E0000005B72DC291D2F55C047CCECF3180B4140CA6DFB1EF52955C0605628D2FD0A4140DCA0F65B3B2A55C0C952EBFD461B41407CB5A338472955C0D3C1FA3F871B41401F274C18CD2955C02D23F59ECA2B414036C98FF8152955C0F92CCF83BB2B41403D0801F9122955C0732D5A80B62D41409160AA99B52955C0D270CADC7C2D414014C440D7BE2955C052F01472A534414029B34126192F55C0207F69519F344140864D64E6022F55C04354E1CFF032414073309B00C33B55C05E9CF86A473341403E3A75E5B33C55C0EE04FBAF7331414040464085233E55C0F7B0170AD832414083328D26173E55C0E620E868553141401C7DCC07043F55C0EB3BBF2841314140EA5C514A083F55C074232C2AE23241404E2157EA594055C0EC9E3C2CD4324140A3AF20CD584055C0FC1873D7122C4140D2FC31AD4D4155C0C30E63D2DF2B4140E08618AF794155C02788BA0F401C414058E1968FA44255C0BAD8B452081C414005F86EF3C64255C0105CE509840D41408F705AF0A24255C0B130444E5F0B4140D236FE44653C55C0C6DE8B2FDA0B4140D15D1267453C55C03160C9552C0A414041EF8D21003B55C0833463D1740A41404E0D349F733955C0D9D138D4EF0A4140E40F069E7B3955C0E010AAD4EC0B41405B72DC291D2F55C047CCECF3180B4140,8,Bartow,1,1
0106000020E61000000100000001030000000100000017000000F60D4C6E14C054C0CD1E680586AC3F408C2E6F0ED7BF54C07A6649809AC63F40B1A888D349C454C0B859BC5818CA3F404E7ADFF8DAC554C03BC093162ECF3F40897E6DFDF4C754C0B06CE690D4CE3F408E78B29B19C954C0E65C8AABCAD23F4045BC75FEEDC954C04979AD84EED23F40035DFB027ACB54C0F6065F984CD93F40721AA20A7FCF54C083C30B2252D73F4033C170AE61DE54C0E4BD6A65C2D73F40AA9D616A4BDE54C05648F949B5CF3F40580053060EDD54C083B7072120C33F40E7DF2EFB75D754C056EE056685C23F40738236397CD754C0C5C4E6E3DAC43F40FED64E9484D554C0048D9944BDC43F40CE893DB48FD554C07B9BFEEC47C23F40C347C49448D454C0130D52F014C23F4072DD94F25AD454C0B8EA3A5453AE3F402D978DCEF9D054C08DBCAC8905AE3F40C4961E4DF5D054C00F5EBBB4E1A83F4012A5BDC117CB54C0C32B499EEBA73F4046072461DFCA54C0997CB3CD8DAD3F40F60D4C6E14C054C0CD1E680586AC3F40,9,Ben Hill,11,18
