State,StateName,Population,CO2,Methane,SqMiles
AL,Alabama,5108468,68215710,7657440,50651
AK,Alaska,733406,16939107,871682,571052
AZ,Arizona,7431344,38392400,1361141,113655
AR,Arkansas,3067732,36628789,2123889,51993
CA,California,38965193,91754567,8737630,155859
CO,Colorado,5877610,50334501,8793631,103637
CT,Connecticut,3617176,10812607,309107,4842
DE,Delaware,1031890,5142434,401666,1949
FL,Florida,22610726,102634266,6603958,53654
GA,Georgia,11029227,48611013,5377827,57717
HI,Hawaii,1435138,6673998,208836,6423
ID,Idaho,1964726,4517006,558383,82645
IL,Illinois,12549689,79693912,5301280,55513
IN,Indiana,6862199,100804811,5277592,35825
IA,Iowa,3207004,45162631,1500489,55853
KS,Kansas,2940546,32461764,1463060,81759
KY,Kentucky,4526154,64178466,2891221,39485
LA,Louisiana,4573749,116792449,3368345,43217
ME,Maine,1395722,2910160,208122,30845
MD,Maryland,6180253,17015846,1164380,9711
MA,Massachusetts,7001399,8637534,674953,7801
MI,Michigan,10037261,66347749,5256870,56610
MN,Minnesota,5737915,35987013,1675892,79631
MS,Mississippi,2939690,29458754,1576142,46924
MO,Missouri,6196156,70588151,1651449,68746
MT,Montana,1132812,15890736,446922,145550
NE,Nebraska,1978379,24174384,1070504,76815
NV,Nevada,3194176,14058510,261100,109860
NH,New Hampshire,1402054,2329557,392252,8954
NJ,New Jersey,9290841,18687476,1602842,7355
NM,New Mexico,2114371,24897238,2772706,121313
NY,New York,19571216,33983922,2724198,47123
NC,North Carolina,10835491,39118920,4155219,48624
ND,North Dakota,783926,38679391,901446,68994
OH,Ohio,11785935,96132325,6528390,40859
OK,Oklahoma,4053824,52312148,7676408,68597
OR,Oregon,4233358,11214401,807873,95997
PA,Pennsylvania,12961683,101933293,13102077,44742
RI,Rhode Island,1095962,3621407,151564,1034
SC,South Carolina,5373555,32699950,1915535,30064
SD,South Dakota,919318,5346409,311802,75808
TN,Tennessee,7126489,32511084,2318727,41233
TX,Texas,30503301,382860204,36975520,261270
UT,Utah,3417734,36065743,1572523,82596
VT,Vermont,647464,130626,55131,9217
VA,Virginia,8715698,32731140,5569921,39482
WA,Washington,7812880,19942316,1616992,66455
WV,West Virginia,1770071,64439685,9443996,24041
WI,Wisconsin,5910955,42563806,1272153,54167
WY,Wyoming,584057,50790072,627354,97089
DC,District of Columbia,678972,88594,42,61
AS,American Samoa,,,,76
GU,Guam,,,,210
MP,Northern Mariana Islands,,,,182
PR,Puerto Rico,3205691,1479746,515814,3424
VI,Virgin Islands of the U.S.,,,,134
